817,18,16,
814,2,13,
813,28,17,
808,10,13,
807,27,12,
806,14,22,
800,78,28,
794,40,11,
570,42,21,
548,30,20,
518,28,20,
512,29,12,
406,52,22,
401,14,14,
336,77,13,
335,54,14,
298,22,21,
265,64,18,
114,1,13,
112,47,16,
106,56,17,
100,54,12,
98,51,15,
97,37,15,
93,75,14,
89,3,23,
83,50,19,
78,4,19,
73,62,19,
69,39,20,
68,71,23,
60,33,23,
54,5,21,
48,40,20,
44,47,17,
42,38,20,
38,55,25,
37,21,27,
25,8,17,
22,49,15,
18,56,13,
16,35,16,
996,1,14,
993,15,17,
989,14,17,
985,37,18,
979,73,13,
978,36,26,
967,13,15,
963,61,12,
961,73,11,
960,20,11,
959,49,13,
958,17,14,
955,78,15,
954,57,18,
948,52,15,
945,49,19,
939,15,23,
928,39,14,
925,32,21,
924,7,20,
919,26,21,
913,31,16,
911,16,16,
910,3,18,
908,10,31,
892,75,24,
883,46,24,
869,41,16,
864,34,14,
863,33,16,
827,15,16,
818,60,18,
814,30,13,
809,25,14,
805,17,15,
803,7,17,
798,32,12,
797,35,14,
795,14,14,
794,6,13
